League,Team,Avg Away Attendance,Total Away Attendance,Highest Away Attendance,Lowest Away Attendance,Season,KEY
Premier League,Burnley,"37,615","714,692","75,356","17,785",2014/15,Premier League|Burnley|2014/15
Premier League,Liverpool,"36,757","698,376","75,331","18,069",2014/15,Premier League|Liverpool|2014/15
Premier League,Queens Park Rangers,"36,739","698,048","75,355","17,523",2014/15,Premier League|Queens Park Rangers|2014/15
Premier League,Leicester City,"36,546","694,379","75,329","18,054",2014/15,Premier League|Leicester City|2014/15
Premier League,Aston Villa,"36,506","693,607","75,397","18,022",2014/15,Premier League|Aston Villa|2014/15
Premier League,Chelsea,"36,505","693,601","75,327","17,939",2014/15,Premier League|Chelsea|2014/15
Premier League,Swansea City,"36,457","692,682","75,339","17,388",2014/15,Premier League|Swansea City|2014/15
Premier League,West Ham United,"36,434","692,255","75,317","18,036",2014/15,Premier League|West Ham United|2014/15
Premier League,Everton,"36,405","691,690","75,294","17,706",2014/15,Premier League|Everton|2014/15
Premier League,Crystal Palace,"36,216","688,095","75,325","17,782",2014/15,Premier League|Crystal Palace|2014/15
Premier League,Hull City,"36,126","686,398","75,345","16,998",2014/15,Premier League|Hull City|2014/15
Premier League,Stoke City,"36,101","685,924","75,388","16,163",2014/15,Premier League|Stoke City|2014/15
Premier League,Tottenham Hotspur,"35,904","682,173","75,112","17,992",2014/15,Premier League|Tottenham Hotspur|2014/15
Premier League,Sunderland,"35,899","682,072","75,344","17,930",2014/15,Premier League|Sunderland|2014/15
Premier League,West Bromwich Albion,"35,878","681,687","75,454","16,904",2014/15,Premier League|West Bromwich Albion|2014/15
Premier League,Manchester City,"35,779","679,798","75,313","18,005",2014/15,Premier League|Manchester City|2014/15
Premier League,Southampton,"35,729","678,858","75,395","17,287",2014/15,Premier League|Southampton|2014/15
Premier League,Arsenal,"35,512","674,736","75,323","17,977",2014/15,Premier League|Arsenal|2014/15
Premier League,Newcastle United,"35,499","674,481","75,318","17,608",2014/15,Premier League|Newcastle United|2014/15
Premier League,Manchester United,"34,801","661,218","60,074","18,098",2014/15,Premier League|Manchester United|2014/15
Bundesliga,Borussia Dortmund,"45,943","781,027","75,254","15,000",2014/15,Bundesliga|Borussia Dortmund|2014/15
Bundesliga,Bayern Munich,"45,675","776,467","80,667","15,000",2014/15,Bundesliga|Bayern Munich|2014/15
Bundesliga,Hamburger SV,"45,051","765,864","80,667","15,000",2014/15,Bundesliga|Hamburger SV|2014/15
Bundesliga,"Borussia M'gladbach","44,656","759,146","80,667","15,000",2014/15,"Bundesliga|Borussia M'gladbach|2014/15"
Bundesliga,SC Paderborn 07,"44,517","756,791","80,667","24,000",2014/15,Bundesliga|SC Paderborn 07|2014/15
Bundesliga,1. FC Koln,"44,429","755,286","80,667","14,993",2014/15,Bundesliga|1. FC Koln|2014/15
Bundesliga,Werder Bremen,"44,351","753,974","80,667","15,000",2014/15,Bundesliga|Werder Bremen|2014/15
Bundesliga,FC Schalke 04,"44,075","749,275","79,500","15,000",2014/15,Bundesliga|FC Schalke 04|2014/15
Bundesliga,Eintracht Frankfurt,"43,971","747,514","80,667","15,000",2014/15,Bundesliga|Eintracht Frankfurt|2014/15
Bundesliga,SC Freiburg,"43,433","738,361","80,200","14,738",2014/15,Bundesliga|SC Freiburg|2014/15
Bundesliga,TSG 1899 Hoffenheim,"42,790","727,438","80,667","14,401",2014/15,Bundesliga|TSG 1899 Hoffenheim|2014/15
Bundesliga,VfL Wolfsburg,"42,631","724,732","80,467","14,659",2014/15,Bundesliga|VfL Wolfsburg|2014/15
Bundesliga,Bayer Leverkusen,"42,598","724,159","80,667","14,905",2014/15,Bundesliga|Bayer Leverkusen|2014/15
Bundesliga,VfB Stuttgart,"42,543","723,224","79,500","15,000",2014/15,Bundesliga|VfB Stuttgart|2014/15
Bundesliga,Hertha BSC,"42,450","721,647","80,667","14,630",2014/15,Bundesliga|Hertha BSC|2014/15
Bundesliga,1. FSV Mainz 05,"42,073","715,236","80,667","14,824",2014/15,Bundesliga|1. FSV Mainz 05|2014/15
Bundesliga,Hannover 96,"41,904","712,360","80,667","15,000",2014/15,Bundesliga|Hannover 96|2014/15
Bundesliga,FC Augsburg,"41,597","707,153","80,667","14,446",2014/15,Bundesliga|FC Augsburg|2014/15
La Liga,Real Madrid,"31,380","596,216","98,760","5,859",2014/15,La Liga|Real Madrid|2014/15
La Liga,Barcelona,"29,152","553,896","85,450","5,439",2014/15,La Liga|Barcelona|2014/15
La Liga,Atletico Madrid,"28,831","547,798","85,253","4,238",2014/15,La Liga|Atletico Madrid|2014/15
La Liga,Valencia,"28,361","538,865","92,915","4,700",2014/15,La Liga|Valencia|2014/15
